Code,Years,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Cash per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price
APPL,1994,0.691,0.053,0.041,0.023,0.019,0.041,0.043,0.055,0.094,0.004,0.178,0.178,0.045,0.3
APPL,1995,0.803,0.062,0.052,0.031,0.032,-0.029,-0.029,-0.017,0.069,0.004,0.211,0.211,0.055,0.33
APPL,1996,0.71,-0.081,-0.089,-0.059,-0.055,0.05,0.025,0.029,0.125,0.001,0.148,0.148,0.081,0.2
APPL,1997,0.502,-0.061,-0.069,-0.074,-0.054,-0.027,-0.02,0.011,0.102,0,0.073,0.073,0.068,0.19
APPL,1998,0.316,0.027,0.021,0.019,0.017,0.025,0.039,0.041,0.152,0,0.099,0.099,0.063,0.34
APPL,1999,0.314,0.041,0.037,0.032,0.022,0.046,0.039,0.042,0.179,0,0.164,0.164,0.017,0.54
APPL,2000,0.396,0.059,0.055,0.039,0.029,0.053,0.036,0.043,0.214,0,0.214,0.214,0.016,0.46
APPL,2001,0.277,0.003,-0.002,-0.001,-0.005,0.003,-0.002,0.01,0.221,0,0.199,0.196,0.016,0.28
APPL,2002,0.283,0.01,0.005,0.003,0.006,-0.005,-0.004,0.004,0.216,0,0.204,0.198,0.016,0.26
APPL,2003,0.305,0.007,0.001,0.003,0.004,0.007,0.006,0.014,0.222,0,0.206,0.2,0.015,0.37
APPL,2004,0.382,0.024,0.017,0.012,0.013,0.029,0.035,0.043,0.249,0,0.232,0.227,0,0.69
APPL,2005,0.581,0.076,0.068,0.055,0.055,0.077,0.095,0.106,0.353,0,0.318,0.314,0,1.91
APPL,2006,0.786,0.109,0.1,0.081,0.081,0.072,0.062,0.09,0.422,0,0.417,0.41,0,2.75
APPL,2007,0.987,0.19,0.177,0.14,0.14,0.193,0.18,0.22,0.63,0,0.595,0.581,0,5.48
APPL,2008,1.484,0.349,0.33,0.242,0.242,0.339,0.332,0.38,0.888,0,0.896,0.876,0,4.06
APPL,2009,1.689,0.491,0.462,0.324,0.324,0.343,0.352,0.4,0.931,0,1.256,1.238,0,6.62
APPL,2010,2.519,0.75,0.71,0.541,0.541,0.647,0.636,0.718,0.999,0,1.863,1.821,0,10.13
APPL,2011,4.128,1.373,1.304,0.989,0.989,1.303,1.147,1.431,0.997,0,2.944,2.774,0,13.62
APPL,2012,5.913,2.23,2.107,1.578,1.578,1.715,1.566,1.921,1.108,0.095,4.495,4.291,0,23.83
APPL,2013,6.552,2.187,1.928,1.42,1.42,1.828,1.709,2.057,1.61,0.407,4.907,4.678,0.674,17.03
APPL,2014,7.464,2.524,2.199,1.613,1.613,2.121,2.038,2.438,1.069,0.453,4.754,4.381,1.504,25.19
APPL,2015,10.086,3.647,3.161,2.305,2.305,3.041,3.011,3.507,1.864,0.495,5.349,4.945,2.883,27.58
APPL,2016,9.801,3.333,2.856,2.078,2.078,2.445,2.432,3.01,3.146,0.545,6.008,5.605,4.077,28.26
APPL,2017,10.912,3.645,3.161,2.303,2.303,2.417,2.465,3.057,3.618,0.6,6.537,6.537,5.642,38.53
APPL,2018,13.279,4.352,3.807,2.98,2.98,3.206,3.206,3.872,3.486,0.68,5.633,5.633,6.019,56.44
APPL,2019,13.991,4.402,3.727,2.97,2.97,2.983,3.167,3.732,5.658,0.75,5.091,5.091,6.079,55.99
APPL,2020,15.661,4.622,3.992,3.28,3.28,3.76,4.186,4.603,5.357,0.795,3.849,3.849,6.623,115.81
APPL,2021,21.691,7.301,6.632,5.61,5.61,5.231,5.512,6.169,3.813,0.85,3.841,3.841,7.592,141.5
APPL,2022,24.154,8.155,7.475,6.11,6.11,6.398,6.826,7.482,3.03,0.9,3.178,3.178,7.531,138.2
APPL,2023,24.239,8.17,7.441,6.13,6.13,5.992,6.298,6.991,3.958,0.94,3.997,3.997,7.144,171.21
